<shipment>.  (a box), - bunch of pieces,,,,,,,,,,,,,,,,,,,,,,,,
,HAL_PHONE_NBR,string,SHIPMENT.HAL_PHONE_NBR,SHIPMENT.HAL_PHONE_NBR,,,,,,,,,,,,,,,,,,,,,
,HANDLING_UNIT_QTY,int,SHIPMENT.HANDLING_UNIT_QTY,SHIPMENT.HANDLING_UNIT_QTY,,,,,,,,,,,,,,,,,,,,,
,HAWB_SERIAL_NBR,int,SHIPMENT.HAWB_SERIAL_NBR,SHIPMENT.HAWB_SERIAL_NBR,,,,,,,,,,,,,,,,,,,,,
,INPUT_TMSTP,date,SHIPMENT.INPUT_TMSTP,SHIPMENT.INPUT_TMSTP,,,,,,,,,,,,,,,,,,,,,
,INTERMEDIATE_CONSIGNEE_CD,string,SHIPMENT.INTERMEDIATE_CONSIGNEE_CD,SHIPMENT.INTERMEDIATE_CONSIGNEE_CD,,,,,,,,,,,,,,,,,,,,,
,INVOICE_CD,string,SHIPMENT.INVOICE_CD,SHIPMENT.INVOICE_CD,,,,,,,,,,,,,,,,,,,,,
,KEYED_CURRENCY_CD,string,SHIPMENT.KEYED_CURRENCY_CD,SHIPMENT.KEYED_CURRENCY_CD,,,,,,,,,,,,,,,,,,,,,
,KEYER_NM,string,SHIPMENT.KEYER_NM,SHIPMENT.KEYER_NM,,,,,,,,,,,,,,,,,,,,,
,LAST_MODIFIED_NM,string,SHIPMENT.LAST_MODIFIED_NM,SHIPMENT.LAST_MODIFIED_NM,,,,,,,,,,,,,,,,,,,,,
,LAST_MODIFIED_TMSTP,dateTime,SHIPMENT.LAST_MODIFIED_TMSTP,SHIPMENT.LAST_MODIFIED_TMSTP,,,,,,,,,,,,,,,,,,,,,
,LOCAL_CUSTOMS_VALUE_AMT,double,SHIPMENT.LOCAL_CUSTOMS_VALUE_AMT,SHIPMENT.LOCAL_CUSTOMS_VALUE_AMT,,,,,,,,,,,,,,,,,,,,,
,LOCAL_CUSTOMS_CURRENCY_CD,string,SHIPMENT.LOCAL_CUSTOMS_CURRENCY_CD,SHIPMENT.LOCAL_CUSTOMS_CURRENCY_CD,,,,,,,,,,,,,,,,,,,,,
,MANUF_ORIG_CNTRY_CD,string,SHIPMENT.MANUF_ORIG_CNTRY_CD,SHIPMENT.MANUF_ORIG_CNTRY_CD,,,,,,,,,,,,,,,,,,,,,
,MANIFEST_STATUS_CD,string,SHIPMENT.MANIFEST_STATUS_CD,,"No data in classify, but cbs has",,,,,,,,,,,,,,,,,,,,
,MDE_SOURCE_CD,string,SHIPMENT.MDE_SOURCE_CD,SHIPMENT.MDE_SOURCE_CD,,,,,,,,,,,,,,,,,,,,,
,METER_NBR,int,SHIPMENT.METER_NBR,SHIPMENT.METER_NBR,,,,,,,,,,,,,,,,,,,,,
